it.geosolutions.imageio-ext:imageio-ext-gdalenvihdr	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10610	new
it.geosolutions.imageio-ext:imageio-ext-gdalerdasimg	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10611	new
it.geosolutions.imageio-ext:imageio-ext-gdalframework	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10612	new
it.geosolutions.imageio-ext:imageio-ext-gdalidrisi	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10613	new
it.geosolutions.imageio-ext:imageio-ext-gdalkakadujp2	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10614	new
it.geosolutions.imageio-ext:imageio-ext-gdalmrsid	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10615	new
it.geosolutions.imageio-ext:imageio-ext-gdalmrsidjp2	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10616	new
it.geosolutions.imageio-ext:imageio-ext-gdalnitf	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10617	new
it.geosolutions.imageio-ext:imageio-ext-gdalrpftoc	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10618	new
it.geosolutions.imageio-ext:imageio-ext-geocore	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10619	new
it.geosolutions.imageio-ext:imageio-ext-imagereadmt	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10620	new
it.geosolutions.imageio-ext:imageio-ext-streams	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10621	new
it.geosolutions.imageio-ext:imageio-ext-tiff	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10622	new
it.geosolutions.imageio-ext:imageio-ext-utilities	1.1.13	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10623	new
it.geosolutions.jaiext.affine:jt-affine	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.algebra:jt-algebra	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.bandcombine:jt-bandcombine	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.bandmerge:jt-bandmerge	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.bandselect:jt-bandselect	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
